date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,9,0.0,8.7,4,4,37,11:23 AM,11:09 PM,07:08 AM,05:35 PM,2,13,13,13,17,20,48,0.0,1021,20,10,110,10
2020-01-02,20,12,0.0,8.7,4,4,44,11:55 AM,No moonset,07:08 AM,05:36 PM,7,15,15,15,15,29,59,0.0,1020,20,10,60,9
2020-01-03,22,13,0.0,7.1,4,4,51,12:25 PM,12:00 AM,07:08 AM,05:37 PM,12,16,17,16,12,32,75,0.3,1017,22,10,22,8
2020-01-04,21,13,0.0,8.7,5,5,59,12:56 PM,12:51 AM,07:08 AM,05:37 PM,11,17,17,17,7,9,70,0.0,1017,21,10,211,4
2020-01-05,23,13,0.0,8.7,5,5,66,01:29 PM,01:44 AM,07:08 AM,05:38 PM,8,17,18,17,10,4,56,0.0,1018,23,10,293,7
2020-01-06,22,13,0.0,8.7,5,5,73,02:04 PM,02:37 AM,07:09 AM,05:39 PM,7,17,17,17,12,39,54,0.0,1019,22,10,198,7
2020-01-07,24,15,0.0,8.7,5,5,80,02:44 PM,03:34 AM,07:09 AM,05:40 PM,10,17,18,17,18,30,60,0.0,1016,24,10,115,12
2020-01-08,19,13,0.0,7.1,4,4,88,03:29 PM,04:32 AM,07:09 AM,05:40 PM,11,15,16,15,19,48,74,0.3,1014,19,10,111,14
2020-01-09,19,10,0.0,8.7,4,4,95,04:20 PM,05:32 AM,07:09 AM,05:41 PM,8,13,14,13,18,18,70,0.0,1019,19,9,326,13
2020-01-10,20,9,0.0,8.7,4,4,100,05:18 PM,06:32 AM,07:09 AM,05:42 PM,5,14,14,14,12,0,57,0.0,1019,20,10,317,9
2020-01-11,20,8,0.0,8.7,4,4,100,06:20 PM,07:31 AM,07:09 AM,05:43 PM,3,13,13,13,12,10,49,0.0,1019,20,10,299,7
2020-01-12,24,10,0.0,8.7,5,5,83,07:27 PM,08:25 AM,07:09 AM,05:43 PM,5,17,17,17,8,3,45,0.0,1016,24,10,280,6
2020-01-13,24,15,0.0,8.7,4,4,76,08:33 PM,09:15 AM,07:09 AM,05:44 PM,6,18,18,18,13,28,48,1.8,1012,24,10,136,9
2020-01-14,23,13,0.0,8.7,5,5,69,09:39 PM,10:00 AM,07:09 AM,05:45 PM,11,17,17,17,11,24,68,0.0,1014,23,10,190,7
2020-01-15,22,13,0.0,7.1,4,4,61,10:42 PM,10:40 AM,07:09 AM,05:46 PM,12,16,17,16,14,58,74,0.8,1016,22,9,56,9
2020-01-16,17,10,0.0,3.9,4,4,54,11:45 PM,11:19 AM,07:09 AM,05:46 PM,14,15,15,15,14,97,92,14.5,1014,17,9,116,9
2020-01-17,19,12,0.0,3.9,4,4,47,No moonrise,11:57 AM,07:09 AM,05:47 PM,13,15,16,15,9,59,83,0.9,1016,19,9,285,7
2020-01-18,20,13,0.0,8.7,5,5,40,12:47 AM,12:35 PM,07:09 AM,05:48 PM,12,16,16,16,10,15,77,0.0,1018,20,10,353,7
2020-01-19,21,12,0.0,8.7,5,5,32,01:49 AM,01:15 PM,07:09 AM,05:49 PM,9,16,16,16,11,3,65,0.0,1018,21,10,324,8
2020-01-20,18,10,0.0,8.7,4,4,25,02:50 AM,01:57 PM,07:08 AM,05:50 PM,6,14,14,14,8,27,57,0.0,1018,18,10,295,5
2020-01-21,22,12,0.0,8.7,5,5,18,03:51 AM,02:44 PM,07:08 AM,05:50 PM,8,17,17,17,8,5,58,0.0,1018,22,10,117,6
2020-01-22,23,14,0.0,8.7,5,5,11,04:51 AM,03:34 PM,07:08 AM,05:51 PM,8,17,17,17,11,0,57,0.0,1020,23,10,329,8
2020-01-23,20,11,0.0,8.7,5,5,3,05:48 AM,04:27 PM,07:08 AM,05:52 PM,6,14,15,14,24,0,57,0.0,1019,20,10,311,16
2020-01-24,21,10,0.0,8.7,5,5,0,06:40 AM,05:23 PM,07:07 AM,05:53 PM,4,14,15,14,21,0,47,0.0,1017,21,10,290,14
2020-01-25,23,12,0.0,8.7,5,5,0,07:27 AM,06:19 PM,07:07 AM,05:54 PM,4,17,17,17,8,3,44,0.0,1016,23,10,319,6
2020-01-26,24,12,0.0,8.7,5,5,4,08:09 AM,07:14 PM,07:07 AM,05:54 PM,8,18,18,18,7,6,53,0.0,1015,24,10,288,5
2020-01-27,23,13,0.0,8.7,5,5,11,08:47 AM,08:08 PM,07:06 AM,05:55 PM,9,18,18,18,13,21,59,0.0,1012,23,10,101,8
2020-01-28,22,15,0.0,7.1,4,4,18,09:22 AM,09:01 PM,07:06 AM,05:56 PM,10,18,19,18,14,45,59,0.0,1011,22,10,162,9
2020-01-29,22,14,0.0,5.5,4,4,26,09:54 AM,09:52 PM,07:06 AM,05:57 PM,9,17,18,17,15,47,58,0.3,1016,22,10,317,10
2020-01-30,21,12,0.0,8.7,5,5,33,10:25 AM,10:43 PM,07:05 AM,05:57 PM,7,16,16,16,17,1,58,0.0,1018,21,10,320,12
2020-01-31,22,12,0.0,8.7,5,5,37,10:56 AM,11:34 PM,07:05 AM,05:58 PM,8,17,17,17,10,3,58,0.0,1016,22,10,291,7
2020-02-01,21,11,0.0,8.7,5,5,49,11:27 AM,No moonset,07:04 AM,05:59 PM,7,16,17,16,10,8,55,0.0,1018,21,10,274,6
2020-02-02,22,12,0.0,11.0,5,5,57,12:00 PM,12:26 AM,07:04 AM,06:00 PM,7,17,17,17,10,1,53,0.0,1020,22,10,311,8
2020-02-03,24,12,0.0,11.0,5,5,64,12:37 PM,01:20 AM,07:03 AM,06:00 PM,6,18,18,18,8,0,48,0.0,1019,24,10,287,6
2020-02-04,23,13,0.0,11.0,5,5,72,01:18 PM,02:16 AM,07:03 AM,06:01 PM,7,17,17,17,11,3,52,0.0,1017,23,10,75,8
2020-02-05,23,12,0.0,11.0,5,5,79,02:05 PM,03:15 AM,07:02 AM,06:02 PM,7,16,16,16,15,7,54,0.0,1017,23,10,325,9
2020-02-06,24,11,0.0,11.0,5,5,87,02:59 PM,04:14 AM,07:02 AM,06:03 PM,6,16,17,16,11,3,50,0.0,1017,24,10,299,7
2020-02-07,22,12,0.0,11.0,5,5,95,04:00 PM,05:13 AM,07:01 AM,06:03 PM,5,16,17,16,10,4,50,0.0,1019,22,10,294,6
2020-02-08,23,12,0.0,11.0,5,5,100,05:05 PM,06:10 AM,07:00 AM,06:04 PM,7,17,18,17,10,0,52,0.0,1021,23,10,348,8
2020-02-09,25,13,0.0,11.1,5,5,100,06:13 PM,07:03 AM,07:00 AM,06:05 PM,8,19,20,19,7,15,53,0.0,1021,25,10,340,5
2020-02-10,25,11,0.0,11.5,5,5,83,07:21 PM,07:51 AM,06:59 AM,06:06 PM,6,18,19,18,10,12,46,0.0,1019,25,10,295,6
2020-02-11,25,14,0.0,11.5,5,5,75,08:28 PM,08:35 AM,06:58 AM,06:06 PM,7,19,19,19,7,1,46,0.0,1019,25,10,288,6
2020-02-12,27,14,0.0,11.5,6,6,68,09:34 PM,09:16 AM,06:58 AM,06:07 PM,8,21,21,21,12,0,45,0.0,1018,27,10,285,9
2020-02-13,29,16,0.0,11.5,6,6,60,10:38 PM,09:55 AM,06:57 AM,06:08 PM,9,23,23,23,24,1,44,0.0,1015,29,10,300,15
2020-02-14,27,17,0.0,11.5,6,6,53,11:42 PM,10:34 AM,06:56 AM,06:08 PM,4,20,20,20,30,0,36,0.0,1013,27,10,305,19
2020-02-15,27,14,0.0,11.5,6,6,45,No moonrise,11:14 AM,06:55 AM,06:09 PM,3,20,20,20,20,0,32,0.0,1014,27,10,309,13
2020-02-16,30,16,0.0,11.6,6,6,38,12:44 AM,11:57 AM,06:54 AM,06:10 PM,2,22,22,22,11,0,27,0.0,1016,30,10,328,8
2020-02-17,30,17,0.0,11.6,6,6,30,01:46 AM,12:42 PM,06:54 AM,06:10 PM,3,23,23,23,14,0,30,0.0,1017,30,10,312,9
2020-02-18,30,16,0.0,11.6,6,6,22,02:46 AM,01:31 PM,06:53 AM,06:11 PM,1,23,23,23,12,4,25,0.0,1014,30,10,304,8
2020-02-19,29,15,0.0,8.7,5,5,15,03:43 AM,02:22 PM,06:52 AM,06:12 PM,2,21,21,21,20,49,30,0.0,1013,29,10,123,12
2020-02-20,30,16,0.0,11.6,6,6,7,04:36 AM,03:17 PM,06:51 AM,06:12 PM,7,21,21,22,32,28,39,0.3,1012,30,10,118,19
2020-02-21,30,16,0.0,11.6,6,6,0,05:24 AM,04:12 PM,06:50 AM,06:13 PM,11,23,23,22,21,23,54,0.6,1015,30,10,164,14
2020-02-22,26,14,0.0,11.6,6,6,0,06:07 AM,05:07 PM,06:49 AM,06:14 PM,13,20,21,20,15,16,65,0.0,1019,26,10,56,10
2020-02-23,27,17,0.0,11.6,6,6,0,06:46 AM,06:01 PM,06:48 AM,06:14 PM,12,22,22,22,12,17,57,0.0,1016,27,10,26,7
2020-02-24,28,17,0.0,10.2,6,6,0,07:22 AM,06:54 PM,06:48 AM,06:15 PM,11,23,23,22,10,16,49,0.0,1014,28,10,245,6
2020-02-25,29,17,0.0,11.6,6,6,8,07:55 AM,07:46 PM,06:47 AM,06:16 PM,7,23,23,23,13,8,39,0.0,1013,29,10,341,8
2020-02-26,31,17,0.0,11.6,7,7,15,08:26 AM,08:37 PM,06:46 AM,06:16 PM,6,25,25,25,10,9,34,0.0,1013,31,10,201,6
2020-02-27,32,18,0.0,11.6,7,7,23,08:56 AM,09:28 PM,06:45 AM,06:17 PM,9,25,25,24,12,4,42,0.0,1013,32,10,150,7
2020-02-28,30,18,0.0,11.6,6,6,30,09:27 AM,10:19 PM,06:44 AM,06:17 PM,10,24,24,23,22,30,46,0.0,1012,30,10,127,14
2020-02-29,32,18,0.0,11.6,7,7,38,09:59 AM,11:12 PM,06:43 AM,06:18 PM,12,26,26,25,19,39,54,2.3,1011,32,10,141,13
2020-03-01,30,17,0.0,7.3,5,5,44,10:34 AM,No moonset,06:42 AM,06:19 PM,14,23,23,23,21,71,63,3.9,1012,30,9,102,13
2020-03-02,30,17,0.0,8.7,5,5,51,11:12 AM,12:06 AM,06:41 AM,06:19 PM,13,24,24,24,11,27,53,1.4,1012,30,10,331,7
2020-03-03,30,19,0.0,11.6,7,7,58,11:55 AM,01:02 AM,06:40 AM,06:20 PM,10,25,25,25,8,21,42,0.0,1010,30,10,232,6
2020-03-04,29,19,0.0,11.6,7,7,65,12:44 PM,01:59 AM,06:39 AM,06:20 PM,10,25,25,24,16,32,44,0.1,1010,29,10,161,10
2020-03-05,30,18,0.0,10.2,5,5,73,01:41 PM,02:57 AM,06:38 AM,06:21 PM,12,24,24,23,19,45,55,3.9,1008,30,10,142,12
2020-03-06,29,16,0.0,7.3,5,5,80,02:42 PM,03:54 AM,06:37 AM,06:22 PM,13,23,23,22,19,73,63,7.4,1008,29,10,150,12
2020-03-07,27,14,0.0,10.2,6,6,87,03:48 PM,04:47 AM,06:36 AM,06:22 PM,11,22,22,22,14,25,59,0.0,1012,27,9,233,9
2020-03-08,28,18,0.0,11.6,6,6,95,04:56 PM,05:38 AM,06:35 AM,06:23 PM,9,23,23,23,14,2,46,0.0,1015,28,10,310,10
2020-03-09,28,17,0.0,11.6,6,6,100,06:05 PM,06:23 AM,06:33 AM,06:23 PM,5,22,22,22,20,2,36,0.0,1013,28,10,318,14
2020-03-10,30,17,0.0,11.6,6,6,100,07:13 PM,07:06 AM,06:32 AM,06:24 PM,4,22,22,23,11,29,33,0.2,1011,30,10,81,8
2020-03-11,30,19,0.0,10.2,6,6,84,08:20 PM,07:48 AM,06:31 AM,06:24 PM,9,24,24,24,15,46,39,0.5,1009,30,10,188,10
2020-03-12,32,21,0.0,11.6,7,7,76,09:27 PM,08:27 AM,06:30 AM,06:25 PM,6,26,26,26,12,9,29,0.0,1010,32,10,195,8
2020-03-13,34,21,0.0,11.6,7,7,69,10:32 PM,09:09 AM,06:29 AM,06:25 PM,2,28,28,28,11,1,25,0.0,1012,34,10,238,8
2020-03-14,30,17,0.0,11.6,7,7,62,11:37 PM,09:52 AM,06:28 AM,06:26 PM,8,25,25,24,15,16,47,0.1,1013,30,10,222,11
2020-03-15,28,18,0.0,11.6,6,6,55,No moonrise,10:37 AM,06:27 AM,06:26 PM,6,22,22,22,12,4,37,0.0,1015,28,10,325,9
2020-03-16,29,18,0.0,11.6,6,6,47,12:39 AM,11:27 AM,06:26 AM,06:27 PM,7,24,24,24,10,12,38,0.0,1016,29,10,331,7
2020-03-17,33,19,0.0,11.6,7,7,40,01:39 AM,12:18 PM,06:25 AM,06:28 PM,7,27,27,26,15,4,35,0.0,1015,33,10,328,10
2020-03-18,33,21,0.0,11.6,7,7,33,02:33 AM,01:12 PM,06:24 AM,06:28 PM,8,28,28,27,14,4,32,0.0,1013,33,10,307,10
2020-03-19,33,24,0.0,11.6,7,7,25,03:23 AM,02:07 PM,06:23 AM,06:29 PM,7,29,29,29,11,6,28,0.0,1010,33,10,273,8
2020-03-20,35,22,0.0,11.6,8,8,18,04:08 AM,03:02 PM,06:22 AM,06:29 PM,4,28,28,28,16,11,23,0.0,1009,35,10,266,11
