date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,25,11,0.0,7.1,4,4,37,10:20 AM,10:10 PM,06:01 AM,04:43 PM,12,17,16,17,6,72,79,1.1,1020,25,8,53,3
2020-01-02,27,11,0.0,8.7,6,6,44,10:53 AM,11:00 PM,06:02 AM,04:44 PM,13,18,18,18,5,58,81,0.1,1020,27,6,143,3
2020-01-03,27,13,0.0,3.9,5,5,51,11:26 AM,11:50 PM,06:02 AM,04:45 PM,16,18,18,18,5,95,90,43.9,1017,27,6,242,3
2020-01-04,21,11,0.0,3.9,4,4,59,11:58 AM,No moonset,06:02 AM,04:45 PM,15,15,16,15,5,74,95,8.2,1015,21,9,203,3
2020-01-05,25,10,0.0,7.1,4,4,66,12:32 PM,12:40 AM,06:02 AM,04:46 PM,13,15,16,15,4,71,90,7.4,1015,25,7,218,3
2020-01-06,23,7,0.0,8.7,5,5,73,01:09 PM,01:33 AM,06:03 AM,04:47 PM,9,14,14,14,5,22,77,0.0,1018,23,9,326,3
2020-01-07,25,6,0.0,8.7,5,5,80,01:49 PM,02:27 AM,06:03 AM,04:47 PM,7,15,15,15,6,4,67,0.0,1016,25,10,257,4
2020-01-08,27,8,0.0,8.7,6,6,88,02:35 PM,03:25 AM,06:03 AM,04:48 PM,8,18,18,18,5,21,60,0.0,1015,27,10,314,3
2020-01-09,26,11,0.0,8.7,6,6,95,03:27 PM,04:23 AM,06:03 AM,04:49 PM,10,17,18,17,5,46,66,0.5,1015,26,9,252,3
2020-01-10,25,10,0.0,5.5,4,4,100,04:24 PM,05:24 AM,06:03 AM,04:49 PM,12,16,17,16,5,58,80,0.6,1015,25,6,322,3
2020-01-11,25,8,0.0,8.7,5,5,100,05:27 PM,06:22 AM,06:03 AM,04:50 PM,10,16,16,16,5,18,74,0.0,1015,25,8,313,3
2020-01-12,27,7,0.0,8.7,6,6,83,06:31 PM,07:18 AM,06:03 AM,04:51 PM,9,16,16,16,6,5,69,0.0,1013,27,8,278,4
2020-01-13,28,8,0.0,8.7,6,6,76,07:37 PM,08:08 AM,06:04 AM,04:52 PM,8,17,17,17,6,1,64,0.0,1012,28,10,230,4
2020-01-14,27,9,0.0,8.7,6,6,69,08:40 PM,08:55 AM,06:04 AM,04:52 PM,8,18,18,18,6,1,63,0.0,1013,27,10,246,4
2020-01-15,29,9,0.0,8.7,6,6,61,09:43 PM,09:38 AM,06:04 AM,04:53 PM,9,18,18,18,5,0,65,0.0,1014,29,10,290,3
2020-01-16,28,9,0.0,8.7,6,6,54,10:43 PM,10:18 AM,06:04 AM,04:54 PM,10,18,19,18,6,3,65,0.0,1015,28,10,315,4
2020-01-17,29,9,0.0,8.7,6,6,47,11:44 PM,10:58 AM,06:04 AM,04:55 PM,8,18,18,18,6,0,60,0.0,1016,29,10,324,4
2020-01-18,29,9,0.0,8.7,6,6,40,No moonrise,11:38 AM,06:03 AM,04:55 PM,8,18,19,18,6,2,60,0.0,1016,29,10,324,4
2020-01-19,28,10,0.0,8.7,6,6,32,12:43 AM,12:18 PM,06:03 AM,04:56 PM,10,19,19,18,6,9,65,0.0,1015,28,10,323,4
2020-01-20,27,10,0.0,8.7,6,6,25,01:44 AM,01:03 PM,06:03 AM,04:57 PM,11,17,18,17,7,22,71,0.0,1016,27,10,270,4
2020-01-21,26,10,0.0,8.7,5,5,18,02:43 AM,01:50 PM,06:03 AM,04:57 PM,7,17,18,17,6,27,59,0.0,1018,26,10,272,4
2020-01-22,28,7,0.0,8.7,6,6,11,03:42 AM,02:40 PM,06:03 AM,04:58 PM,4,16,16,16,6,2,51,0.0,1017,28,10,274,4
2020-01-23,25,7,0.0,8.7,5,5,3,04:38 AM,03:34 PM,06:03 AM,04:59 PM,6,16,16,16,8,12,55,0.0,1015,25,10,241,5
2020-01-24,24,9,0.0,8.7,5,5,0,05:32 AM,04:29 PM,06:03 AM,05:00 PM,3,15,16,15,7,2,53,0.0,1016,24,10,262,4
2020-01-25,25,5,0.0,8.7,5,5,0,06:19 AM,05:25 PM,06:02 AM,05:00 PM,4,13,13,13,6,2,57,0.0,1015,25,10,302,4
2020-01-26,23,6,0.0,8.7,5,5,4,07:03 AM,06:19 PM,06:02 AM,05:01 PM,5,13,14,13,8,5,60,0.0,1013,23,10,237,5
2020-01-27,23,6,0.0,8.7,5,5,11,07:43 AM,07:12 PM,06:02 AM,05:02 PM,6,13,14,13,8,12,64,0.0,1013,23,10,250,5
2020-01-28,25,6,0.0,8.7,5,5,18,08:18 AM,08:03 PM,06:02 AM,05:03 PM,7,15,15,15,6,7,64,0.0,1014,25,10,275,4
2020-01-29,26,8,0.0,8.7,5,5,26,08:52 AM,08:53 PM,06:01 AM,05:03 PM,9,16,17,16,5,19,68,0.0,1016,26,10,240,3
2020-01-30,26,9,0.0,7.2,5,5,33,09:25 AM,09:42 PM,06:01 AM,05:04 PM,10,18,19,18,6,40,65,0.0,1014,26,10,245,4
