date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,8.7,4,4,37,11:37 AM,11:24 PM,07:20 AM,05:50 PM,3,11,13,11,29,7,52,0.0,1019,19,10,93,18
2020-01-02,19,9,0.0,8.7,3,3,44,12:08 PM,No moonset,07:20 AM,05:51 PM,8,13,14,13,25,32,70,0.0,1019,19,10,80,15
2020-01-03,21,10,0.0,8.7,5,5,51,12:39 PM,12:14 AM,07:20 AM,05:52 PM,6,14,15,14,18,13,56,0.0,1018,21,10,20,10
2020-01-04,22,11,0.0,8.7,5,5,59,01:11 PM,01:05 AM,07:20 AM,05:52 PM,6,15,16,15,11,9,52,0.0,1017,22,10,170,7
2020-01-05,22,12,0.0,8.7,5,5,66,01:44 PM,01:57 AM,07:21 AM,05:53 PM,4,16,17,16,14,6,45,0.0,1017,22,10,158,8
2020-01-06,23,13,0.0,8.7,5,5,73,02:19 PM,02:50 AM,07:21 AM,05:54 PM,4,17,17,17,18,34,43,0.0,1017,23,10,167,11
2020-01-07,24,13,0.0,8.7,5,5,80,02:59 PM,03:47 AM,07:21 AM,05:54 PM,6,17,18,17,20,13,47,0.0,1014,24,10,242,12
2020-01-08,20,12,0.0,8.7,5,5,88,03:45 PM,04:44 AM,07:21 AM,05:55 PM,6,14,15,14,22,18,59,0.0,1014,20,10,313,15
2020-01-09,19,10,0.0,8.7,4,4,95,04:36 PM,05:45 AM,07:21 AM,05:56 PM,2,13,13,13,15,0,49,0.0,1019,19,10,26,10
2020-01-10,20,8,0.0,8.7,4,4,100,05:34 PM,06:45 AM,07:21 AM,05:57 PM,-2,13,14,13,17,2,38,0.0,1020,20,10,56,10
2020-01-11,20,8,0.0,8.7,4,4,100,06:36 PM,07:44 AM,07:21 AM,05:57 PM,-2,13,13,13,20,11,35,0.0,1019,20,10,116,12
2020-01-12,25,11,0.0,8.7,5,5,83,07:42 PM,08:38 AM,07:21 AM,05:58 PM,0,17,17,17,20,3,33,0.0,1015,25,10,149,12
2020-01-13,19,12,0.0,3.9,4,4,76,08:48 PM,09:28 AM,07:21 AM,05:59 PM,10,14,15,14,27,49,72,3.6,1011,19,10,271,18
2020-01-14,20,10,0.0,10.8,5,5,69,09:53 PM,10:12 AM,07:21 AM,06:00 PM,5,13,14,13,12,4,60,0.0,1015,20,10,204,7
2020-01-15,20,9,0.0,8.5,4,4,61,10:57 PM,10:54 AM,07:21 AM,06:00 PM,8,14,14,14,21,46,65,0.3,1015,20,10,99,13
2020-01-16,19,12,0.0,7.0,4,4,54,11:59 PM,11:33 AM,07:21 AM,06:01 PM,8,13,14,13,23,65,68,6.6,1014,19,9,31,15
2020-01-17,20,10,0.0,10.8,5,5,47,No moonrise,12:11 PM,07:21 AM,06:02 PM,3,15,15,15,11,5,46,0.0,1017,20,10,303,6
2020-01-18,20,10,0.0,10.8,5,5,40,01:01 AM,12:49 PM,07:21 AM,06:03 PM,1,14,14,14,16,16,41,0.0,1017,20,10,189,9
2020-01-19,20,10,0.0,10.8,5,5,32,02:02 AM,01:30 PM,07:21 AM,06:03 PM,1,15,16,15,16,4,41,0.0,1018,20,10,241,10
2020-01-20,20,10,0.0,10.8,5,5,25,03:03 AM,02:12 PM,07:21 AM,06:04 PM,2,14,15,14,15,8,42,0.0,1017,20,10,153,9
2020-01-21,24,11,0.0,10.8,5,5,18,04:04 AM,02:59 PM,07:21 AM,06:05 PM,4,18,19,18,14,18,45,0.0,1017,24,10,150,9
2020-01-22,22,12,0.0,10.9,5,5,11,05:03 AM,03:50 PM,07:20 AM,06:06 PM,5,15,17,15,19,2,51,0.0,1020,22,10,42,12
2020-01-23,21,11,0.0,10.9,5,5,3,06:00 AM,04:43 PM,07:20 AM,06:07 PM,1,15,15,15,17,0,41,0.0,1020,21,10,11,11
2020-01-24,23,11,0.0,10.9,5,5,0,06:52 AM,05:39 PM,07:20 AM,06:07 PM,0,17,16,17,12,0,35,0.0,1017,23,10,327,7
2020-01-25,24,13,0.0,10.9,5,5,0,07:40 AM,06:34 PM,07:20 AM,06:08 PM,1,18,19,18,5,3,33,0.0,1016,24,10,135,3
2020-01-26,27,13,0.0,10.9,6,6,4,08:22 AM,07:30 PM,07:19 AM,06:09 PM,1,20,20,20,11,1,30,0.0,1013,27,10,267,7
2020-01-27,26,14,0.0,10.9,6,6,11,09:00 AM,08:23 PM,07:19 AM,06:10 PM,4,20,21,20,12,16,39,0.0,1010,26,10,246,8
2020-01-28,20,13,0.0,10.9,4,4,18,09:35 AM,09:16 PM,07:19 AM,06:10 PM,7,16,16,16,18,21,58,0.2,1010,20,10,278,12
2020-01-29,21,10,0.0,10.9,5,5,26,10:07 AM,10:06 PM,07:18 AM,06:11 PM,2,15,16,15,14,6,43,0.0,1016,21,10,308,8
2020-01-30,22,11,0.0,10.9,5,5,33,10:39 AM,10:57 PM,07:18 AM,06:12 PM,-0,16,16,16,13,2,35,0.0,1017,22,10,245,8
2020-01-31,21,11,0.0,11.0,5,5,37,11:10 AM,11:48 PM,07:17 AM,06:13 PM,-0,16,16,16,16,1,36,0.0,1015,21,10,255,10
2020-02-01,24,11,0.0,11.0,5,5,49,11:42 AM,No moonset,07:17 AM,06:13 PM,0,18,19,18,12,0,34,0.0,1017,24,10,147,7
2020-02-02,24,11,0.0,11.0,5,5,57,12:15 PM,12:39 AM,07:16 AM,06:14 PM,1,17,18,17,14,0,37,0.0,1019,24,10,87,8
2020-02-03,24,11,0.0,11.0,5,5,64,12:52 PM,01:33 AM,07:16 AM,06:15 PM,0,17,18,17,16,1,35,0.0,1017,24,10,138,9
