date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,25,0.0,10.2,6,6,37,11:17 AM,11:26 PM,06:40 AM,06:15 PM,23,31,31,27,12,62,77,2.7,1012,30,10,259,9
2020-01-02,30,26,0.0,10.2,6,6,44,11:55 AM,No moonset,06:41 AM,06:16 PM,24,31,31,28,14,56,80,3.9,1013,30,10,277,10
2020-01-03,30,25,0.0,11.6,7,7,51,12:33 PM,12:10 AM,06:41 AM,06:16 PM,24,32,32,28,12,24,80,1.6,1012,30,10,274,9
2020-01-04,30,26,0.0,8.7,6,6,59,01:11 PM,12:54 AM,06:41 AM,06:17 PM,24,32,32,28,15,60,82,5.1,1011,30,9,287,11
2020-01-05,29,26,0.0,8.7,6,6,66,01:50 PM,01:40 AM,06:42 AM,06:17 PM,24,31,31,27,14,64,79,4.6,1010,29,10,300,10
2020-01-06,31,26,0.0,10.2,6,6,73,02:32 PM,02:26 AM,06:42 AM,06:18 PM,24,32,32,28,13,59,79,9.6,1012,31,9,227,9
2020-01-07,32,23,0.0,10.2,6,6,80,03:18 PM,03:16 AM,06:43 AM,06:18 PM,23,31,31,27,11,29,75,0.2,1012,32,10,281,9
2020-01-08,31,25,0.0,10.2,6,6,88,04:07 PM,04:09 AM,06:43 AM,06:19 PM,23,31,31,28,13,46,75,1.4,1011,31,10,279,10
2020-01-09,30,25,0.0,10.2,6,6,95,05:02 PM,05:05 AM,06:43 AM,06:19 PM,23,30,30,27,13,58,77,1.2,1011,30,10,262,10
2020-01-10,31,25,0.0,8.7,6,6,100,06:01 PM,06:04 AM,06:44 AM,06:20 PM,22,31,31,28,12,32,74,0.4,1011,31,10,239,10
2020-01-11,30,20,0.0,11.6,7,7,100,07:01 PM,07:03 AM,06:44 AM,06:20 PM,21,28,28,26,14,0,69,0.0,1011,30,10,303,11
2020-01-12,30,19,0.0,11.6,7,7,83,08:03 PM,08:01 AM,06:44 AM,06:21 PM,20,28,28,26,13,0,66,0.0,1011,30,10,299,10
2020-01-13,29,25,0.0,11.6,7,7,76,09:03 PM,08:56 AM,06:44 AM,06:21 PM,21,29,29,27,10,13,70,0.0,1011,29,10,249,9
