date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,7,0.0,8.7,4,4,37,11:29 AM,11:15 PM,07:14 AM,05:40 PM,1,11,12,11,12,13,49,0.0,1021,18,10,90,7
2020-01-02,18,9,0.0,5.5,3,3,44,12:01 PM,No moonset,07:14 AM,05:41 PM,6,13,13,13,12,37,61,0.0,1021,18,10,78,7
2020-01-03,21,10,0.0,8.7,5,5,51,12:31 PM,12:06 AM,07:15 AM,05:41 PM,9,15,15,15,13,14,70,0.0,1018,21,10,126,8
2020-01-04,21,11,0.0,8.7,5,5,59,01:02 PM,12:57 AM,07:15 AM,05:42 PM,6,16,16,16,8,6,54,0.0,1017,21,10,261,5
2020-01-05,23,12,0.0,8.7,5,5,66,01:35 PM,01:50 AM,07:15 AM,05:43 PM,5,16,16,16,8,9,50,0.0,1018,23,10,188,5
2020-01-06,20,13,0.0,8.7,5,5,73,02:10 PM,02:43 AM,07:15 AM,05:44 PM,6,15,15,15,9,40,56,0.0,1019,20,10,124,5
2020-01-07,23,11,0.0,8.7,5,5,80,02:49 PM,03:40 AM,07:15 AM,05:44 PM,9,15,16,15,13,32,70,0.0,1016,23,10,96,8
2020-01-08,20,10,0.0,8.7,4,4,88,03:34 PM,04:38 AM,07:15 AM,05:45 PM,9,13,14,13,15,56,76,1.2,1014,20,8,213,10
2020-01-09,18,9,0.0,8.7,4,4,95,04:25 PM,05:39 AM,07:16 AM,05:46 PM,6,12,13,12,13,5,67,0.0,1019,18,10,340,10
2020-01-10,19,9,0.0,8.7,4,4,100,05:23 PM,06:39 AM,07:16 AM,05:47 PM,2,12,13,12,12,1,50,0.0,1020,19,10,342,8
2020-01-11,20,6,0.0,8.7,4,4,100,06:25 PM,07:38 AM,07:16 AM,05:47 PM,-1,12,13,12,9,13,39,0.0,1020,20,10,115,5
2020-01-12,26,11,0.0,8.7,5,5,83,07:32 PM,08:32 AM,07:16 AM,05:48 PM,1,17,18,17,7,4,34,0.0,1016,26,10,188,4
2020-01-13,22,13,0.0,3.9,4,4,76,08:38 PM,09:21 AM,07:16 AM,05:49 PM,7,16,16,16,20,63,57,7.5,1012,22,10,219,12
2020-01-14,20,10,0.0,8.7,5,5,69,09:44 PM,10:06 AM,07:16 AM,05:50 PM,10,13,14,13,13,10,76,0.0,1015,20,10,11,8
2020-01-15,19,10,0.0,8.7,4,4,61,10:48 PM,10:46 AM,07:16 AM,05:50 PM,8,13,14,13,13,25,69,0.0,1016,19,10,57,8
2020-01-16,16,9,0.0,3.9,3,3,54,11:51 PM,11:25 AM,07:16 AM,05:51 PM,8,12,12,12,15,69,77,10.8,1015,16,9,19,9
2020-01-17,20,9,0.0,8.7,4,4,47,No moonrise,12:02 PM,07:15 AM,05:52 PM,9,13,13,13,10,27,74,0.0,1017,20,10,350,6
2020-01-18,20,12,0.0,8.7,5,5,40,12:53 AM,12:40 PM,07:15 AM,05:53 PM,9,16,16,16,6,16,67,0.0,1018,20,10,88,4
2020-01-19,20,10,0.0,8.7,4,4,32,01:55 AM,01:20 PM,07:15 AM,05:54 PM,3,14,14,14,12,6,49,0.0,1019,20,10,330,7
2020-01-20,18,9,0.0,8.7,4,4,25,02:57 AM,02:03 PM,07:15 AM,05:54 PM,2,13,13,13,6,25,47,0.0,1018,18,10,234,3
2020-01-21,21,11,0.0,8.7,5,5,18,03:58 AM,02:49 PM,07:15 AM,05:55 PM,5,15,15,15,11,5,56,0.0,1018,21,10,122,7
2020-01-22,21,11,0.0,8.7,5,5,11,04:58 AM,03:39 PM,07:14 AM,05:56 PM,6,15,15,15,12,2,57,0.0,1021,21,10,345,8
2020-01-23,19,9,0.0,8.7,4,4,3,05:54 AM,04:32 PM,07:14 AM,05:57 PM,3,12,13,12,23,0,51,0.0,1020,19,10,324,14
2020-01-24,20,8,0.0,8.7,4,4,0,06:46 AM,05:28 PM,07:14 AM,05:58 PM,-0,13,14,13,24,0,39,0.0,1018,20,10,310,14
2020-01-25,22,12,0.0,8.7,5,5,0,07:34 AM,06:24 PM,07:14 AM,05:58 PM,1,16,16,16,9,10,38,0.0,1017,22,10,213,6
2020-01-26,24,11,0.0,8.7,5,5,4,08:16 AM,07:20 PM,07:13 AM,05:59 PM,6,17,18,17,7,14,49,0.0,1015,24,10,211,5
2020-01-27,21,12,0.0,10.1,4,4,11,08:54 AM,08:14 PM,07:13 AM,06:00 PM,8,16,16,16,14,30,61,0.0,1012,21,10,121,8
2020-01-28,19,11,0.0,10.9,4,4,18,09:28 AM,09:06 PM,07:12 AM,06:01 PM,8,15,15,15,12,45,63,0.2,1011,19,10,129,7
2020-01-29,20,12,0.0,10.9,5,5,26,10:00 AM,09:58 PM,07:12 AM,06:02 PM,5,15,15,15,14,17,54,0.0,1017,20,10,335,9
2020-01-30,19,9,0.0,10.9,5,5,33,10:31 AM,10:49 PM,07:12 AM,06:02 PM,4,13,14,13,15,4,54,0.0,1018,19,10,336,10
2020-01-31,22,11,0.0,10.9,5,5,37,11:01 AM,11:40 PM,07:11 AM,06:03 PM,5,16,16,16,8,2,51,0.0,1016,22,10,232,6
2020-02-01,20,10,0.0,10.9,5,5,49,11:33 AM,No moonset,07:11 AM,06:04 PM,5,14,14,14,10,4,54,0.0,1019,20,10,156,6
2020-02-02,22,12,0.0,11.0,5,5,57,12:06 PM,12:32 AM,07:10 AM,06:05 PM,5,16,16,16,8,0,50,0.0,1021,22,10,220,6
2020-02-03,25,11,0.0,11.0,5,5,64,12:42 PM,01:27 AM,07:10 AM,06:05 PM,4,17,17,17,6,1,43,0.0,1019,25,10,190,4
2020-02-04,21,11,0.0,11.0,5,5,72,01:24 PM,02:23 AM,07:09 AM,06:06 PM,5,15,15,15,11,8,52,0.0,1017,21,10,110,7
2020-02-05,21,10,0.0,11.0,5,5,79,02:10 PM,03:21 AM,07:08 AM,06:07 PM,5,15,16,15,12,7,54,0.0,1018,21,10,217,7
2020-02-06,22,9,0.0,11.0,5,5,87,03:04 PM,04:21 AM,07:08 AM,06:08 PM,2,15,15,15,9,2,43,0.0,1017,22,10,200,6
2020-02-07,21,11,0.0,11.0,5,5,95,04:05 PM,05:20 AM,07:07 AM,06:08 PM,3,16,16,16,9,2,46,0.0,1019,21,10,175,6
2020-02-08,22,11,0.0,11.0,5,5,100,05:10 PM,06:17 AM,07:07 AM,06:09 PM,4,16,16,16,9,0,48,0.0,1022,22,10,15,6
2020-02-09,22,11,0.0,11.0,5,5,100,06:18 PM,07:09 AM,07:06 AM,06:10 PM,3,17,18,17,7,19,43,0.0,1022,22,10,52,4
2020-02-10,25,10,0.0,11.1,5,5,83,07:27 PM,07:57 AM,07:05 AM,06:11 PM,2,17,18,17,7,11,40,0.0,1019,25,10,192,4
2020-02-11,27,13,0.0,11.1,5,5,75,08:34 PM,08:41 AM,07:04 AM,06:11 PM,4,19,18,19,7,2,40,0.0,1019,27,10,173,5
2020-02-12,28,14,0.0,11.1,6,6,68,09:40 PM,09:22 AM,07:04 AM,06:12 PM,4,20,20,20,15,2,36,0.0,1019,28,10,308,9
2020-02-13,29,15,0.0,11.1,6,6,60,10:44 PM,10:01 AM,07:03 AM,06:13 PM,4,21,21,21,25,1,35,0.0,1016,29,10,314,14
2020-02-14,27,15,0.0,11.1,6,6,53,11:48 PM,10:39 AM,07:02 AM,06:14 PM,2,20,20,20,29,0,33,0.0,1014,27,10,315,18
2020-02-15,28,14,0.0,11.1,6,6,45,No moonrise,11:20 AM,07:01 AM,06:14 PM,-2,20,20,20,23,0,24,0.0,1014,28,10,318,14
2020-02-16,29,16,0.0,11.1,6,6,38,12:51 AM,12:02 PM,07:01 AM,06:15 PM,-4,21,21,22,14,0,18,0.0,1017,29,10,224,9
2020-02-17,30,17,0.0,11.2,6,6,30,01:53 AM,12:47 PM,07:00 AM,06:16 PM,-3,22,22,22,15,0,19,0.0,1017,30,10,322,10
2020-02-18,30,16,0.0,11.6,6,6,22,02:53 AM,01:36 PM,06:59 AM,06:16 PM,-4,23,23,23,14,13,18,0.0,1015,30,10,313,9
2020-02-19,29,15,0.0,7.2,5,5,15,03:50 AM,02:27 PM,06:58 AM,06:17 PM,-2,21,21,21,16,59,23,0.0,1013,29,10,145,10
2020-02-20,29,14,0.0,11.6,6,6,7,04:43 AM,03:22 PM,06:57 AM,06:18 PM,4,22,22,22,20,14,37,0.0,1012,29,10,143,13
2020-02-21,25,14,0.0,11.6,5,5,0,05:31 AM,04:17 PM,06:56 AM,06:18 PM,10,19,20,19,16,32,64,0.4,1015,25,10,45,11
2020-02-22,25,12,0.0,11.6,5,5,0,06:14 AM,05:12 PM,06:55 AM,06:19 PM,11,18,18,18,15,31,69,0.0,1019,25,8,61,10
2020-02-23,27,16,0.0,11.6,6,6,0,06:53 AM,06:07 PM,06:55 AM,06:20 PM,12,22,22,21,10,12,60,0.0,1017,27,10,60,7
2020-02-24,26,16,0.0,11.6,5,5,0,07:28 AM,07:00 PM,06:54 AM,06:20 PM,9,21,21,21,9,23,48,0.0,1014,26,10,73,6
2020-02-25,28,16,0.0,11.6,6,6,8,08:01 AM,07:52 PM,06:53 AM,06:21 PM,5,22,22,22,12,10,36,0.0,1013,28,10,344,8
2020-02-26,30,16,0.0,11.6,6,6,15,08:31 AM,08:43 PM,06:52 AM,06:22 PM,3,23,23,23,14,7,30,0.0,1013,30,10,286,9
2020-02-27,33,17,0.0,11.6,7,7,23,09:02 AM,09:34 PM,06:51 AM,06:22 PM,7,25,25,25,9,5,36,0.0,1013,33,10,120,6
2020-02-28,28,16,0.0,7.3,5,5,30,09:33 AM,10:25 PM,06:50 AM,06:23 PM,9,23,23,23,17,52,47,3.4,1011,28,10,125,11
2020-02-29,31,16,0.0,11.6,5,5,38,10:05 AM,11:18 PM,06:49 AM,06:23 PM,11,24,24,23,18,52,56,1.6,1010,31,10,177,12
2020-03-01,30,16,0.0,11.6,6,6,44,10:39 AM,No moonset,06:48 AM,06:24 PM,14,20,20,21,14,33,69,0.1,1012,30,10,100,10
2020-03-02,28,17,0.0,11.6,6,6,51,11:17 AM,12:12 AM,06:47 AM,06:25 PM,11,23,23,23,7,9,50,0.0,1012,28,10,144,5
2020-03-03,28,18,0.0,11.6,5,5,58,12:00 PM,01:09 AM,06:46 AM,06:25 PM,8,23,23,23,11,25,39,0.0,1011,28,10,193,7
2020-03-04,29,18,0.0,11.6,5,5,65,12:49 PM,02:06 AM,06:45 AM,06:26 PM,8,23,23,23,12,22,43,0.0,1009,29,10,122,8
2020-03-05,28,17,0.0,5.9,5,5,73,01:46 PM,03:04 AM,06:44 AM,06:26 PM,12,21,21,21,16,63,61,2.8,1008,28,10,169,11
2020-03-06,26,14,0.0,5.9,4,4,80,02:47 PM,04:00 AM,06:43 AM,06:27 PM,11,18,19,18,19,70,65,5.4,1008,26,10,191,14
2020-03-07,26,14,0.0,11.6,6,6,87,03:53 PM,04:54 AM,06:41 AM,06:28 PM,10,19,19,19,11,11,58,0.0,1013,26,10,272,9
