date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,8,0.0,5.4,3,3,37,11:31 AM,11:12 PM,07:20 AM,05:33 PM,0,12,12,12,11,70,45,0.0,1022,18,10,128,7
2020-01-02,21,11,0.0,8.7,5,5,44,12:01 PM,No moonset,07:20 AM,05:34 PM,5,15,15,15,10,19,50,0.0,1022,21,10,192,5
2020-01-03,21,12,0.0,7.1,4,4,51,12:30 PM,12:05 AM,07:20 AM,05:35 PM,8,15,15,15,11,27,62,0.2,1018,21,10,226,7
2020-01-04,20,12,0.0,8.7,5,5,59,01:00 PM,12:57 AM,07:20 AM,05:35 PM,8,15,15,15,10,6,66,0.0,1017,20,10,266,6
2020-01-05,19,10,0.0,8.7,3,3,66,01:31 PM,01:51 AM,07:21 AM,05:36 PM,5,13,14,13,22,30,55,0.0,1017,19,10,314,13
2020-01-06,15,6,0.0,5.4,3,3,73,02:05 PM,02:46 AM,07:21 AM,05:37 PM,5,10,12,10,21,68,62,3.1,1019,15,9,218,12
2020-01-07,14,12,0.0,3.8,3,3,80,02:43 PM,03:44 AM,07:21 AM,05:38 PM,12,12,13,12,14,94,91,13.9,1017,14,7,123,9
2020-01-08,12,5,0.0,3.8,3,3,88,03:27 PM,04:43 AM,07:21 AM,05:38 PM,10,9,11,9,14,74,93,87.3,1015,12,7,86,9
2020-01-09,16,7,0.0,8.7,4,4,95,04:18 PM,05:45 AM,07:21 AM,05:39 PM,6,10,11,10,17,1,75,0.0,1019,16,10,310,11
2020-01-10,16,7,0.0,8.7,4,4,100,05:15 PM,06:45 AM,07:21 AM,05:40 PM,5,9,11,9,22,8,70,0.0,1019,16,10,308,13
2020-01-11,17,7,0.0,8.7,4,4,100,06:18 PM,07:44 AM,07:21 AM,05:41 PM,4,10,11,10,18,39,64,0.0,1018,17,10,305,10
2020-01-12,21,10,0.0,8.7,5,5,83,07:26 PM,08:37 AM,07:21 AM,05:42 PM,7,14,15,14,13,28,62,0.0,1016,21,10,265,7
2020-01-13,16,8,0.0,3.8,3,3,76,08:33 PM,09:25 AM,07:21 AM,05:42 PM,10,12,13,12,17,64,81,17.0,1011,16,9,154,11
2020-01-14,18,10,0.0,8.7,3,3,69,09:41 PM,10:08 AM,07:21 AM,05:43 PM,11,13,13,13,13,43,83,0.0,1016,18,9,307,8
2020-01-15,19,9,0.0,8.7,4,4,61,10:46 PM,10:48 AM,07:21 AM,05:44 PM,10,12,13,12,12,20,78,0.0,1016,19,10,241,7
2020-01-16,17,11,0.0,5.5,3,3,54,11:51 PM,11:25 AM,07:20 AM,05:45 PM,11,13,13,13,14,63,85,13.9,1015,17,9,208,9
2020-01-17,18,11,0.0,3.8,3,3,47,No moonrise,12:01 PM,07:20 AM,05:46 PM,11,13,14,13,7,72,84,8.9,1016,18,9,208,5
2020-01-18,18,11,0.0,5.5,3,3,40,12:54 AM,12:37 PM,07:20 AM,05:47 PM,10,13,13,13,12,54,82,3.6,1018,18,10,295,7
