date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,6,0.0,8.7,4,4,37,11:40 AM,11:20 PM,07:30 AM,05:38 PM,2,11,11,11,9,33,56,0.0,1021,18,10,86,5
2020-01-02,18,9,0.0,7.1,3,3,44,12:09 PM,No moonset,07:31 AM,05:39 PM,3,12,12,12,9,58,52,0.2,1021,18,10,129,5
2020-01-03,20,9,0.0,8.7,4,4,51,12:38 PM,12:12 AM,07:31 AM,05:39 PM,5,14,13,14,8,24,59,0.0,1017,20,10,304,5
2020-01-04,20,9,0.0,8.7,4,4,59,01:07 PM,01:06 AM,07:31 AM,05:40 PM,4,13,13,13,6,9,54,0.0,1017,20,10,227,3
2020-01-05,17,9,0.0,5.4,3,3,66,01:38 PM,02:00 AM,07:31 AM,05:41 PM,4,12,13,12,14,48,56,0.0,1017,17,10,222,8
2020-01-06,12,2,0.0,3.8,3,3,73,02:11 PM,02:56 AM,07:31 AM,05:42 PM,6,8,10,8,13,88,77,10.2,1020,12,8,157,8
2020-01-07,12,9,0.0,3.8,3,3,80,02:49 PM,03:54 AM,07:31 AM,05:42 PM,10,10,11,10,10,89,96,14.9,1017,12,9,221,7
2020-01-08,17,8,0.0,8.7,4,4,88,03:33 PM,04:54 AM,07:31 AM,05:43 PM,7,11,11,11,13,10,76,0.0,1017,17,8,319,8
2020-01-09,19,8,0.0,8.7,4,4,95,04:22 PM,05:56 AM,07:31 AM,05:44 PM,5,12,12,12,11,0,61,0.0,1018,19,10,307,8
2020-01-10,18,7,0.0,8.7,3,3,100,05:20 PM,06:56 AM,07:31 AM,05:45 PM,-0,10,11,10,15,24,47,0.0,1018,18,10,307,9
2020-01-11,18,5,0.0,5.4,3,3,100,06:23 PM,07:55 AM,07:31 AM,05:46 PM,-2,10,10,10,10,53,41,0.0,1018,18,10,294,6
2020-01-12,20,11,0.0,8.7,4,4,83,07:31 PM,08:48 AM,07:31 AM,05:47 PM,2,14,14,14,12,49,44,0.0,1015,20,10,302,7
2020-01-13,13,8,0.0,7.1,3,3,76,08:39 PM,09:36 AM,07:31 AM,05:47 PM,7,10,11,10,20,72,80,23.7,1011,13,9,200,12
2020-01-14,18,7,0.0,8.7,4,4,69,09:48 PM,10:18 AM,07:31 AM,05:48 PM,8,12,12,12,9,8,80,0.0,1016,18,8,330,6
2020-01-15,18,9,0.0,8.7,4,4,61,10:54 PM,10:56 AM,07:31 AM,05:49 PM,8,13,13,13,7,8,75,0.0,1017,18,10,317,5
2020-01-16,18,9,0.0,5.4,3,3,54,11:59 PM,11:33 AM,07:31 AM,05:50 PM,9,13,13,13,8,46,76,0.0,1015,18,10,320,5
2020-01-17,18,9,0.0,7.1,3,3,47,No moonrise,12:08 PM,07:31 AM,05:51 PM,9,12,12,12,7,55,83,2.0,1017,18,10,186,4
2020-01-18,19,10,0.0,8.7,4,4,40,01:03 AM,12:43 PM,07:30 AM,05:52 PM,9,13,13,13,6,31,76,0.0,1018,19,10,192,3
2020-01-19,19,9,0.0,8.7,4,4,32,02:07 AM,01:22 PM,07:30 AM,05:53 PM,7,13,13,13,9,12,68,0.0,1018,19,10,314,6
2020-01-20,18,9,0.0,5.5,3,3,25,03:11 AM,02:02 PM,07:30 AM,05:54 PM,1,13,13,13,12,81,47,0.0,1017,18,10,283,6
2020-01-21,16,9,0.0,5.5,3,3,18,04:13 AM,02:47 PM,07:30 AM,05:54 PM,6,11,12,11,17,51,69,0.7,1020,16,10,17,10
2020-01-22,19,7,0.0,8.7,4,4,11,05:14 AM,03:37 PM,07:29 AM,05:55 PM,6,11,12,11,20,4,69,0.0,1022,19,10,318,12
2020-01-23,19,8,0.0,8.7,4,4,3,06:11 AM,04:30 PM,07:29 AM,05:56 PM,4,11,12,11,18,0,59,0.0,1019,19,10,308,11
2020-01-24,19,6,0.0,8.7,4,4,0,07:03 AM,05:26 PM,07:28 AM,05:57 PM,1,11,12,11,15,5,48,0.0,1015,19,10,308,9
2020-01-25,20,8,0.0,8.7,4,4,0,07:50 AM,06:23 PM,07:28 AM,05:58 PM,1,13,13,13,6,40,46,0.0,1015,20,10,312,4
2020-01-26,22,8,0.0,8.7,5,5,4,08:30 AM,07:20 PM,07:28 AM,05:59 PM,8,15,15,15,9,10,64,0.0,1014,22,10,327,6
2020-01-27,20,10,0.0,6.9,4,4,11,09:07 AM,08:16 PM,07:27 AM,06:00 PM,8,13,14,13,15,53,69,0.8,1012,20,8,235,8
2020-01-28,13,9,0.0,5.4,3,3,18,09:40 AM,09:10 PM,07:27 AM,06:01 PM,10,10,11,10,19,92,94,60.7,1010,13,8,121,12
2020-01-29,17,10,0.0,6.9,3,3,26,10:09 AM,10:04 PM,07:26 AM,06:02 PM,10,12,12,12,14,64,87,6.3,1017,17,9,205,9
