date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,20,0.0,11.6,7,7,37,11:16 AM,11:18 PM,06:44 AM,06:01 PM,18,25,25,24,23,32,71,0.2,1014,29,10,93,17
2020-01-02,30,20,0.0,5.8,6,6,44,11:52 AM,No moonset,06:45 AM,06:02 PM,19,27,27,25,18,69,70,1.6,1015,30,9,112,12
2020-01-03,31,22,0.0,7.2,6,6,51,12:27 PM,12:04 AM,06:45 AM,06:02 PM,19,28,28,26,15,68,66,3.6,1013,31,10,110,9
2020-01-04,33,23,0.0,10.1,6,6,59,01:04 PM,12:50 AM,06:46 AM,06:03 PM,18,30,30,28,8,32,59,0.3,1011,33,10,140,5
2020-01-05,30,22,0.0,7.2,6,6,66,01:41 PM,01:38 AM,06:46 AM,06:03 PM,19,27,27,26,21,64,67,1.4,1012,30,10,90,15
2020-01-06,29,21,0.0,5.8,6,6,73,02:21 PM,02:26 AM,06:46 AM,06:04 PM,20,26,26,24,26,71,77,0.5,1015,29,10,87,20
2020-01-07,29,21,0.0,5.8,6,6,80,03:05 PM,03:18 AM,06:46 AM,06:05 PM,19,26,26,24,22,76,75,1.6,1014,29,10,100,17
2020-01-08,29,21,0.0,7.2,6,6,88,03:54 PM,04:12 AM,06:47 AM,06:05 PM,18,26,26,25,18,49,70,0.0,1013,29,10,103,14
2020-01-09,30,21,0.0,11.6,7,7,95,04:47 PM,05:09 AM,06:47 AM,06:06 PM,18,26,26,25,17,26,65,0.0,1013,30,10,97,12
2020-01-10,30,21,0.0,11.6,7,7,100,05:46 PM,06:08 AM,06:47 AM,06:06 PM,17,26,26,24,23,17,64,0.0,1013,30,10,89,17
2020-01-11,29,20,0.0,11.6,6,6,100,06:47 PM,07:07 AM,06:48 AM,06:07 PM,17,25,25,23,21,8,67,0.0,1015,29,10,87,16
2020-01-12,28,20,0.0,11.6,5,5,83,07:50 PM,08:04 AM,06:48 AM,06:07 PM,17,25,25,24,16,21,66,0.0,1014,28,10,83,11
2020-01-13,30,19,0.0,11.6,7,7,76,08:51 PM,08:58 AM,06:48 AM,06:08 PM,14,25,25,25,15,4,55,0.0,1012,30,10,66,10
2020-01-14,30,21,0.0,11.6,7,7,69,09:51 PM,09:48 AM,06:48 AM,06:09 PM,12,26,26,25,18,3,48,0.0,1012,30,10,77,12
2020-01-15,30,19,0.0,11.6,7,7,61,10:49 PM,10:35 AM,06:48 AM,06:09 PM,12,25,25,24,20,1,53,0.0,1013,30,10,96,15
2020-01-16,29,19,0.0,11.6,6,6,54,11:46 PM,11:20 AM,06:48 AM,06:10 PM,13,24,24,24,17,1,55,0.0,1013,29,10,109,12
2020-01-17,30,19,0.0,11.6,7,7,47,No moonrise,12:03 PM,06:49 AM,06:10 PM,14,25,25,24,20,6,55,0.0,1013,30,10,103,14
2020-01-18,30,20,0.0,8.7,6,6,40,12:41 AM,12:47 PM,06:49 AM,06:11 PM,18,26,26,24,24,54,70,0.0,1013,30,10,101,18
2020-01-19,31,20,0.0,11.6,7,7,32,01:37 AM,01:32 PM,06:49 AM,06:11 PM,17,26,26,25,21,27,64,0.0,1013,31,10,88,15
2020-01-20,32,21,0.0,11.6,7,7,25,02:33 AM,02:19 PM,06:49 AM,06:12 PM,15,26,26,26,19,8,56,0.0,1014,32,10,89,14
2020-01-21,32,20,0.0,11.6,7,7,18,03:31 AM,03:09 PM,06:49 AM,06:12 PM,13,26,26,26,24,2,50,0.0,1015,32,10,97,17
2020-01-22,31,19,0.0,11.6,7,7,11,04:27 AM,04:01 PM,06:49 AM,06:13 PM,16,25,25,24,24,7,63,0.0,1016,31,10,97,18
2020-01-23,31,19,0.0,11.6,7,7,3,05:23 AM,04:55 PM,06:49 AM,06:14 PM,14,26,26,25,22,4,57,0.0,1015,31,10,93,15
2020-01-24,32,21,0.0,11.6,7,7,0,06:16 AM,05:50 PM,06:49 AM,06:14 PM,12,27,27,26,18,1,46,0.0,1014,32,10,83,12
2020-01-25,32,21,0.0,11.6,7,7,0,07:06 AM,06:43 PM,06:49 AM,06:15 PM,10,28,28,26,16,2,39,0.0,1014,32,10,86,11
2020-01-26,33,22,0.0,11.6,7,7,4,07:51 AM,07:35 PM,06:49 AM,06:15 PM,11,27,27,27,14,3,38,0.0,1013,33,10,83,9
2020-01-27,34,22,0.0,11.6,7,7,11,08:33 AM,08:24 PM,06:49 AM,06:16 PM,11,28,28,28,18,1,39,0.0,1012,34,10,102,12
2020-01-28,33,22,0.0,11.6,7,7,18,09:13 AM,09:12 PM,06:49 AM,06:16 PM,16,28,28,27,16,19,51,0.0,1012,33,10,260,12
2020-01-29,35,22,0.0,11.6,7,7,26,09:50 AM,09:58 PM,06:48 AM,06:17 PM,14,30,30,29,11,13,45,0.0,1013,35,10,300,7
2020-01-30,36,23,0.0,11.6,8,8,33,10:25 AM,10:44 PM,06:48 AM,06:17 PM,13,31,31,30,12,8,39,0.0,1012,36,10,251,8
2020-01-31,36,22,0.0,11.6,7,7,37,11:01 AM,11:30 PM,06:48 AM,06:17 PM,13,30,30,29,17,5,43,0.0,1010,36,10,132,11
2020-02-01,34,22,0.0,11.6,7,7,49,11:37 AM,No moonset,06:48 AM,06:18 PM,14,29,29,28,24,19,47,0.0,1011,34,10,119,17
2020-02-02,32,21,0.0,11.6,7,7,57,12:15 PM,12:17 AM,06:48 AM,06:18 PM,14,28,28,26,25,13,50,0.0,1014,32,10,105,18
2020-02-03,32,20,0.0,11.6,7,7,64,12:56 PM,01:06 AM,06:48 AM,06:19 PM,12,27,27,26,22,3,47,0.0,1014,32,10,100,15
2020-02-04,33,19,0.0,11.6,7,7,72,01:42 PM,01:58 AM,06:47 AM,06:19 PM,10,27,27,26,20,0,45,0.0,1013,33,10,106,13
2020-02-05,33,19,0.0,11.6,7,7,79,02:31 PM,02:53 AM,06:47 AM,06:20 PM,13,27,27,26,19,8,52,0.0,1013,33,10,86,12
2020-02-06,34,21,0.0,11.6,7,7,87,03:27 PM,03:50 AM,06:47 AM,06:20 PM,12,29,29,28,18,15,41,0.0,1012,34,10,167,11
