date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,18,0.0,11.0,6,6,37,11:29 AM,11:25 PM,07:03 AM,06:01 PM,11,23,23,23,15,10,50,0.0,1013,29,10,221,10
2020-01-02,29,17,0.0,11.0,5,5,44,12:03 PM,No moonset,07:04 AM,06:01 PM,12,23,23,23,13,36,56,0.0,1015,29,10,235,8
2020-01-03,27,18,0.0,11.0,6,6,51,12:36 PM,12:13 AM,07:04 AM,06:02 PM,12,22,22,22,17,15,58,0.0,1014,27,10,241,11
2020-01-04,27,17,0.0,11.0,6,6,59,01:11 PM,01:01 AM,07:04 AM,06:02 PM,12,22,22,21,14,9,58,0.0,1013,27,10,196,9
2020-01-05,25,16,0.0,11.0,6,6,66,01:46 PM,01:50 AM,07:05 AM,06:03 PM,11,20,20,20,21,12,56,0.0,1014,25,10,106,13
2020-01-06,26,16,0.0,11.0,6,6,73,02:24 PM,02:40 AM,07:05 AM,06:04 PM,11,21,22,21,17,13,52,0.0,1016,26,10,135,11
2020-01-07,29,18,0.0,11.0,6,6,80,03:07 PM,03:34 AM,07:05 AM,06:04 PM,13,24,24,24,16,23,54,0.0,1014,29,10,196,11
2020-01-08,27,20,0.0,10.1,5,5,88,03:54 PM,04:30 AM,07:05 AM,06:05 PM,13,25,25,23,22,39,52,0.1,1012,27,10,264,15
2020-01-09,27,16,0.0,11.0,6,6,95,04:46 PM,05:29 AM,07:06 AM,06:06 PM,9,22,22,22,19,5,48,0.0,1014,27,10,199,12
2020-01-10,25,15,0.0,11.0,6,6,100,05:45 PM,06:28 AM,07:06 AM,06:06 PM,9,20,22,20,22,8,51,0.0,1015,25,10,110,14
2020-01-11,27,15,0.0,11.0,6,6,100,06:47 PM,07:27 AM,07:06 AM,06:07 PM,10,21,21,21,16,16,49,0.0,1016,27,10,145,10
2020-01-12,29,18,0.0,11.0,6,6,83,07:51 PM,08:22 AM,07:06 AM,06:07 PM,11,24,24,23,13,2,48,0.0,1014,29,10,129,8
2020-01-13,29,17,0.0,11.0,6,6,76,08:54 PM,09:15 AM,07:06 AM,06:08 PM,11,24,24,23,11,7,48,0.0,1012,29,10,217,7
2020-01-14,29,18,0.0,11.0,6,6,69,09:56 PM,10:03 AM,07:06 AM,06:09 PM,12,24,24,24,14,9,55,0.0,1012,29,10,166,9
2020-01-15,29,18,0.0,11.0,6,6,61,10:56 PM,10:47 AM,07:06 AM,06:09 PM,11,23,23,23,20,13,49,0.0,1011,29,10,184,14
2020-01-16,25,16,0.0,11.0,6,6,54,11:55 PM,11:29 AM,07:06 AM,06:10 PM,9,20,22,20,17,13,51,0.0,1012,25,10,240,11
2020-01-17,26,13,0.0,11.1,6,6,47,No moonrise,12:10 PM,07:06 AM,06:11 PM,4,20,21,20,15,8,36,0.0,1014,26,10,163,9
2020-01-18,28,15,0.0,11.1,6,6,40,12:54 AM,12:52 PM,07:06 AM,06:11 PM,8,22,22,22,16,7,43,0.0,1013,28,10,183,10
2020-01-19,29,16,0.0,11.1,6,6,32,01:52 AM,01:35 PM,07:06 AM,06:12 PM,10,24,24,23,18,8,48,0.0,1014,29,10,199,10
2020-01-20,30,17,0.0,11.1,6,6,25,02:50 AM,02:20 PM,07:06 AM,06:13 PM,12,25,25,24,12,7,51,0.0,1014,30,10,195,8
2020-01-21,29,18,0.0,11.1,6,6,18,03:49 AM,03:09 PM,07:06 AM,06:13 PM,14,24,24,24,15,32,54,0.0,1014,29,10,173,10
2020-01-22,30,21,0.0,11.1,7,7,11,04:47 AM,04:01 PM,07:06 AM,06:14 PM,11,26,26,25,13,15,43,0.0,1015,30,10,186,9
2020-01-23,31,20,0.0,11.1,7,7,3,05:43 AM,04:54 PM,07:06 AM,06:15 PM,11,27,27,26,14,6,42,0.0,1014,31,10,174,8
2020-01-24,32,19,0.0,11.1,7,7,0,06:35 AM,05:49 PM,07:06 AM,06:15 PM,11,26,26,26,13,3,45,0.0,1015,32,10,251,8
2020-01-25,31,19,0.0,11.1,7,7,0,07:24 AM,06:43 PM,07:06 AM,06:16 PM,8,26,26,25,14,6,36,0.0,1013,31,10,247,8
